tokenID,name,description,file_name,external_url,attributes[Type],attributes[Gender],attributes[Age],attributes[HairStyle],attributes[FacialFeature],attributes[Eyes],attributes[Expression],attributes[Accessory],attributes[Rarity]
1131,Loxley #1131,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1131.png,,human rogue,feminine,elder,bowl cut,cybernetic jaw,tired eyes,surprised,antenna,Common
1132,Loxley #1132,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1132.png,,human scout,androgynous,elder,messy hair,face tattoo,closed eyes,frowning,high collar,Common
1133,Loxley #1133,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1133.png,,human hacker,feminine,elder,pigtails,sideburns,narrow eyes,smiling,nothing on head,Common
1134,Loxley #1134,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1134.png,,human rogue,feminine,elder,ponytail,mustache,closed eyes,neutral,neck chain,Common
1135,Loxley #1135,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1135.png,,alien,masculine,young,dreadlocks,chin strap beard,normal eyes,calm,face mask,Rare
1136,Loxley #1136,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1136.png,,secret agent,androgynous,elder,undercut,chin strap beard,sunglasses,smiling,cigarette,Rare
1137,Loxley #1137,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1137.png,,alien,androgynous,adult,curly hair,nose ring,square glasses,smirking,nothing on head,Rare
1138,Loxley #1138,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1138.png,,human ranger,androgynous,elder,bald,cheek markings,eyepatch,frowning,bandana,Common
1139,Loxley #1139,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1139.png,,secret agent,androgynous,adult,bangs,war paint,winking,frowning,crown,Rare
1140,Loxley #1140,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1140.png,,human scout,masculine,young,bald,cheek markings,square glasses,serious,bandana,Common
1141,Loxley #1141,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1141.png,,human oracle,masculine,young,man-bun,beauty mark,tired eyes,smirking,helmet,Common
1142,Loxley #1142,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1142.png,,portrait cat,feminine,elder,pigtails,clean-shaven,glowing cyber eye,scowling,antenna,Rare
1143,Loxley #1143,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1143.png,,human ranger,feminine,elder,pigtails,face tattoo,winking,frowning,earring,Common
1144,Loxley #1144,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1144.png,,human ranger,feminine,elder,hooded head,eye scar,round glasses,calm,face mask,Common
1145,Loxley #1145,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1145.png,,alien,masculine,elder,undercut,wrinkles,tired eyes,serious,headband,Rare
1146,Loxley #1146,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1146.png,,portrait cat,masculine,young,undercut,scarred cheek,eyepatch,grinning,helmet,Rare
1147,Loxley #1147,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1147.png,,human ranger,feminine,young,shaved sides,face tattoo,narrow eyes,serious,bandana,Common
1148,Loxley #1148,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1148.png,,human scout,masculine,adult,top-knot,beauty mark,heterochromia,serious,nothing on head,Common
1149,Loxley #1149,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1149.png,,human rogue,androgynous,elder,short hair,goatee,narrow eyes,calm,beanie,Common
1150,Loxley #1150,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1150.png,,human oracle,androgynous,elder,long hair,stubble,wide eyes,grinning,scarf,Common
1151,Loxley #1151,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1151.png,,human phantom,androgynous,young,slicked-back hair,dimples,square glasses,serious,high collar,Common
1152,Loxley #1152,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1152.png,,human oracle,feminine,young,dreadlocks,scarred cheek,winking,scowling,headphones,Common
1153,Loxley #1153,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1153.png,,portrait dog,androgynous,adult,shaved sides,freckles,glowing cyber eye,smiling,face mask,Rare
1154,Loxley #1154,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1154.png,,human rogue,androgynous,adult,bangs,soul patch,tired eyes,neutral,small horns,Common
1155,Loxley #1155,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1155.png,,human scout,androgynous,adult,top-knot,mustache,sharp piercing eyes,smirking,flower behind ear,Common
1156,Loxley #1156,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1156.png,,portrait dog,androgynous,adult,cornrows,soul patch,normal eyes,scowling,earring,Rare
1157,Loxley #1157,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1157.png,,human hacker,feminine,elder,mohawk,face tattoo,sharp piercing eyes,calm,flower behind ear,Common
1158,Loxley #1158,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1158.png,,secret agent,feminine,elder,cornrows,clean-shaven,wide eyes,calm,bandana,Rare
1159,Loxley #1159,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1159.png,,alien,masculine,young,long hair,stubble,eyepatch,scowling,beanie,Rare
1160,Loxley #1160,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1160.png,,human hacker,feminine,elder,receding hairline,soul patch,winking,grinning,flower behind ear,Common
1161,Loxley #1161,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1161.png,,human ranger,masculine,adult,bald,war paint,winking,calm,antenna,Common
1162,Loxley #1162,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1162.png,,human oracle,feminine,adult,spiky hair,cheek markings,heterochromia,grinning,headphones,Common
1163,Loxley #1163,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1163.png,,portrait cat,androgynous,young,spiky hair,wrinkles,cyber visor,surprised,glowing halo,Rare
1164,Loxley #1164,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1164.png,,human phantom,masculine,young,slicked-back hair,war paint,cyber visor,frowning,antenna,Common
1165,Loxley #1165,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1165.png,,human hacker,androgynous,adult,undercut,stubble,normal eyes,smirking,beanie,Common
1166,Loxley #1166,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1166.png,,human hacker,masculine,young,receding hairline,dimples,tired eyes,neutral,laurel wreath,Common
1167,Loxley #1167,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1167.png,,human hacker,feminine,elder,cornrows,cybernetic jaw,sunglasses,calm,flower behind ear,Common
1168,Loxley #1168,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1168.png,,human scout,feminine,elder,spiky hair,mustache,winking,scowling,high collar,Common
1169,Loxley #1169,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1169.png,,human oracle,feminine,elder,receding hairline,goatee,glowing eyes,calm,headband,Common
1170,Loxley #1170,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1170.png,,alien,feminine,elder,spiky hair,face tattoo,big round eyes,serious,headphones,Rare
1171,Loxley #1171,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1171.png,,human oracle,androgynous,adult,man-bun,nose ring,glowing cyber eye,neutral,crown,Common
1172,Loxley #1172,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1172.png,,human scout,androgynous,young,shaved sides,beauty mark,tired eyes,scowling,hood up,Common
1173,Loxley #1173,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1173.png,,human rogue,masculine,adult,bangs,stubble,monocle,grinning,hood up,Common
1174,Loxley #1174,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1174.png,,human ranger,feminine,elder,long hair,clean-shaven,sunglasses,smiling,bandana,Common
1175,Loxley #1175,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1175.png,,human oracle,feminine,adult,slicked-back hair,cheek markings,cyber visor,smirking,earring,Common
1176,Loxley #1176,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1176.png,,human rogue,masculine,elder,ponytail,cybernetic jaw,monocle,surprised,headphones,Common
1177,Loxley #1177,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1177.png,,secret agent,feminine,adult,shaved sides,soul patch,glowing eyes,neutral,small horns,Rare
1178,Loxley #1178,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1178.png,,portrait dog,androgynous,adult,dreadlocks,dimples,normal eyes,surprised,scarf,Rare
1179,Loxley #1179,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1179.png,,human oracle,masculine,elder,bald,cybernetic jaw,wide eyes,frowning,small horns,Common
1180,Loxley #1180,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1180.png,,human scout,masculine,young,bald,cheek markings,narrow eyes,smiling,small horns,Common
1181,Loxley #1181,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1181.png,,human rogue,androgynous,adult,undercut,cybernetic jaw,narrow eyes,smirking,earring,Common
1182,Loxley #1182,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1182.png,,human rogue,masculine,adult,undercut,eye scar,wide eyes,grinning,antenna,Common
1183,Loxley #1183,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1183.png,,human ranger,masculine,adult,man-bun,stubble,cyber visor,grinning,cigarette,Common
1184,Loxley #1184,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1184.png,,human oracle,masculine,elder,mohawk,soul patch,winking,serious,bandana,Common
1185,Loxley #1185,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1185.png,,human phantom,masculine,elder,spiky hair,cheek markings,cyber visor,smiling,face mask,Common
1186,Loxley #1186,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1186.png,,human rogue,masculine,elder,curly hair,mustache,heterochromia,smiling,cigarette,Common
1187,Loxley #1187,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1187.png,,alien,feminine,young,curly hair,goatee,glowing cyber eye,grinning,headband,Rare
1188,Loxley #1188,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1188.png,,human oracle,masculine,adult,shaved sides,dimples,wide eyes,neutral,laurel wreath,Common
1189,Loxley #1189,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1189.png,,human phantom,feminine,young,man-bun,cybernetic jaw,cyber visor,surprised,beanie,Common
1190,Loxley #1190,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1190.png,,portrait dog,masculine,adult,mohawk,scarred cheek,narrow eyes,neutral,helmet,Rare
1191,Loxley #1191,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1191.png,,human scout,feminine,elder,afro hair,war paint,normal eyes,grinning,small horns,Common
1192,Loxley #1192,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1192.png,,portrait dog,feminine,elder,ponytail,sideburns,cyber visor,smirking,flower behind ear,Rare
1193,Loxley #1193,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1193.png,,human hacker,masculine,elder,top-knot,beauty mark,closed eyes,calm,crown,Common
1194,Loxley #1194,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1194.png,,human scout,androgynous,adult,pigtails,cheek markings,normal eyes,grinning,bandana,Common
1195,Loxley #1195,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1195.png,,human scout,androgynous,young,bangs,stubble,cyber visor,calm,high collar,Common
1196,Loxley #1196,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1196.png,,human oracle,androgynous,young,bowl cut,face tattoo,wide eyes,frowning,laurel wreath,Common
1197,Loxley #1197,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1197.png,,secret agent,feminine,elder,undercut,sideburns,square glasses,calm,cigarette,Rare
1198,Loxley #1198,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1198.png,,human rogue,androgynous,young,curly hair,full beard,wide eyes,neutral,high collar,Common
1199,Loxley #1199,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1199.png,,human rogue,masculine,young,curly hair,scarred cheek,sunglasses,smiling,headphones,Common
1200,Loxley #1200,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1200.png,,portrait cat,masculine,young,mohawk,dimples,closed eyes,smirking,flower behind ear,Rare
1201,Loxley #1201,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1201.png,,human rogue,feminine,adult,curly hair,wrinkles,normal eyes,calm,cap,Common
1202,Loxley #1202,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1202.png,,secret agent,feminine,elder,mohawk,wrinkles,normal eyes,surprised,hood up,Rare
1203,Loxley #1203,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1203.png,,human oracle,masculine,adult,messy hair,stubble,normal eyes,calm,neck chain,Common
1204,Loxley #1204,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1204.png,,secret agent,feminine,adult,shaved sides,scarred cheek,round glasses,scowling,nothing on head,Rare
1205,Loxley #1205,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1205.png,,human oracle,androgynous,young,bowl cut,freckles,sharp piercing eyes,grinning,flower behind ear,Common
1206,Loxley #1206,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1206.png,,human hacker,feminine,elder,dreadlocks,goatee,eyepatch,grinning,headphones,Common
1207,Loxley #1207,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1207.png,,human phantom,masculine,young,messy hair,soul patch,glowing cyber eye,smiling,small horns,Common
1208,Loxley #1208,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1208.png,,human oracle,masculine,elder,man-bun,nose ring,monocle,scowling,small horns,Common
1209,Loxley #1209,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1209.png,,human oracle,feminine,elder,curly hair,sideburns,eyepatch,neutral,earring,Common
1210,Loxley #1210,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1210.png,,human phantom,androgynous,elder,bald,mustache,square glasses,scowling,high collar,Common
1211,Loxley #1211,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1211.png,,human scout,masculine,elder,receding hairline,goatee,normal eyes,calm,earring,Common
1212,Loxley #1212,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1212.png,,human oracle,masculine,young,shaved sides,soul patch,winking,surprised,flower behind ear,Common
1213,Loxley #1213,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1213.png,,human scout,androgynous,elder,pigtails,freckles,narrow eyes,smirking,headphones,Common
1214,Loxley #1214,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1214.png,,secret agent,androgynous,young,long hair,freckles,eyepatch,scowling,small horns,Rare
1215,Loxley #1215,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1215.png,,human oracle,feminine,adult,wavy hair,freckles,glowing cyber eye,grinning,helmet,Common
1216,Loxley #1216,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1216.png,,human scout,feminine,young,bald,cybernetic jaw,glowing cyber eye,grinning,cigarette,Common
1217,Loxley #1217,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1217.png,,human oracle,androgynous,adult,mohawk,war paint,square glasses,neutral,headband,Common
1218,Loxley #1218,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1218.png,,secret agent,masculine,elder,mohawk,cheek markings,cyber visor,smirking,face mask,Rare
1219,Loxley #1219,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1219.png,,human rogue,androgynous,young,bowl cut,scarred cheek,sunglasses,neutral,cap,Common
1220,Loxley #1220,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1220.png,,secret agent,masculine,elder,afro hair,mustache,closed eyes,smiling,headphones,Rare
1221,Loxley #1221,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1221.png,,human scout,masculine,elder,mohawk,wrinkles,wide eyes,serious,glowing halo,Common
1222,Loxley #1222,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1222.png,,portrait cat,feminine,elder,messy hair,freckles,closed eyes,frowning,high collar,Rare
1223,Loxley #1223,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1223.png,,human phantom,androgynous,elder,bald,nose ring,sunglasses,neutral,high collar,Common
1224,Loxley #1224,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1224.png,,human scout,masculine,young,afro hair,scarred cheek,winking,frowning,cigarette,Common
1225,Loxley #1225,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1225.png,,human ranger,androgynous,young,man-bun,stubble,cyber visor,grinning,cap,Common
1226,Loxley #1226,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1226.png,,human scout,feminine,elder,undercut,sideburns,square glasses,grinning,cap,Common
1227,Loxley #1227,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1227.png,,human hacker,masculine,young,dreadlocks,cybernetic jaw,monocle,grinning,helmet,Common
1228,Loxley #1228,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1228.png,,human rogue,masculine,adult,undercut,scarred cheek,sharp piercing eyes,calm,crown,Common
1229,Loxley #1229,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1229.png,,human phantom,masculine,elder,pigtails,full beard,sharp piercing eyes,serious,flower behind ear,Common
1230,Loxley #1230,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1230.png,,portrait cat,androgynous,adult,top-knot,face tattoo,normal eyes,smiling,neck chain,Rare
1231,Loxley #1231,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1231.png,,human rogue,feminine,elder,short hair,face tattoo,heterochromia,serious,beanie,Common
1232,Loxley #1232,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1232.png,,portrait dog,feminine,young,short hair,goatee,monocle,smirking,nothing on head,Rare
1233,Loxley #1233,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1233.png,,alien,masculine,elder,dreadlocks,war paint,glowing cyber eye,smirking,beanie,Rare
1234,Loxley #1234,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1234.png,,human hacker,androgynous,young,undercut,clean-shaven,heterochromia,frowning,beanie,Common
1235,Loxley #1235,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1235.png,,portrait dog,masculine,young,mohawk,scarred cheek,big round eyes,smirking,glowing halo,Rare
1236,Loxley #1236,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1236.png,,alien,androgynous,adult,buzzcut,dimples,sunglasses,surprised,neck chain,Rare
1237,Loxley #1237,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1237.png,,portrait cat,masculine,adult,spiky hair,clean-shaven,winking,grinning,flower behind ear,Rare
1238,Loxley #1238,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1238.png,,human rogue,feminine,elder,long hair,cheek markings,tired eyes,serious,headband,Common
1239,Loxley #1239,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1239.png,,portrait cat,masculine,adult,bowl cut,nose ring,heterochromia,grinning,neck chain,Rare
1240,Loxley #1240,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1240.png,,portrait dog,feminine,young,mohawk,full beard,closed eyes,smirking,nothing on head,Rare
1241,Loxley #1241,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1241.png,,human rogue,androgynous,adult,dreadlocks,stubble,normal eyes,neutral,antenna,Common
1242,Loxley #1242,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1242.png,,human ranger,androgynous,elder,cornrows,soul patch,big round eyes,smiling,scarf,Common
1243,Loxley #1243,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1243.png,,human rogue,feminine,adult,afro hair,war paint,big round eyes,grinning,beanie,Common
1244,Loxley #1244,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1244.png,,human rogue,masculine,elder,long hair,freckles,glowing eyes,frowning,headphones,Common
1245,Loxley #1245,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1245.png,,human phantom,feminine,adult,hooded head,eye scar,narrow eyes,serious,hood up,Common
1246,Loxley #1246,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1246.png,,human hacker,feminine,elder,dreadlocks,clean-shaven,cyber visor,surprised,headband,Common
1247,Loxley #1247,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1247.png,,human rogue,feminine,elder,afro hair,scarred cheek,cyber visor,frowning,cigarette,Common
1248,Loxley #1248,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1248.png,,human rogue,androgynous,adult,dreadlocks,stubble,heterochromia,serious,antenna,Common
1249,Loxley #1249,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1249.png,,human hacker,feminine,elder,undercut,nose ring,winking,serious,flower behind ear,Common
1250,Loxley #1250,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1250.png,,human hacker,androgynous,adult,bowl cut,beauty mark,closed eyes,serious,cap,Common
1251,Loxley #1251,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1251.png,,alien,masculine,adult,bowl cut,scarred cheek,sharp piercing eyes,serious,headband,Rare
1252,Loxley #1252,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1252.png,,human hacker,feminine,young,curly hair,beauty mark,tired eyes,frowning,headband,Common
1253,Loxley #1253,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1253.png,,human rogue,androgynous,young,short hair,wrinkles,closed eyes,scowling,high collar,Common
1254,Loxley #1254,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1254.png,,portrait dog,androgynous,elder,shaved sides,sideburns,square glasses,calm,cigarette,Rare
1255,Loxley #1255,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1255.png,,secret agent,masculine,elder,undercut,soul patch,monocle,neutral,cigarette,Rare
1256,Loxley #1256,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1256.png,,human scout,androgynous,adult,slicked-back hair,clean-shaven,eyepatch,frowning,headphones,Common
1257,Loxley #1257,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1257.png,,portrait dog,masculine,adult,long hair,chin strap beard,glowing cyber eye,frowning,beanie,Rare
1258,Loxley #1258,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1258.png,,alien,feminine,elder,pigtails,sideburns,cyber visor,smiling,neck chain,Rare
1259,Loxley #1259,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1259.png,,portrait dog,androgynous,elder,dreadlocks,chin strap beard,eyepatch,grinning,earring,Rare
1260,Loxley #1260,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1260.png,,human phantom,androgynous,adult,bowl cut,cybernetic jaw,normal eyes,neutral,nothing on head,Common
1261,Loxley #1261,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1261.png,,human phantom,androgynous,elder,shaved sides,cybernetic jaw,sunglasses,frowning,hood up,Common
1262,Loxley #1262,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1262.png,,human scout,androgynous,young,bowl cut,soul patch,narrow eyes,serious,high collar,Common
1263,Loxley #1263,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1263.png,,human rogue,masculine,elder,pigtails,beauty mark,sharp piercing eyes,surprised,flower behind ear,Common
1264,Loxley #1264,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1264.png,,human oracle,feminine,young,bangs,soul patch,sharp piercing eyes,grinning,cigarette,Common
1265,Loxley #1265,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1265.png,,portrait cat,feminine,elder,bangs,scarred cheek,monocle,smirking,headphones,Rare
1266,Loxley #1266,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1266.png,,human rogue,feminine,adult,buzzcut,stubble,sharp piercing eyes,smirking,flower behind ear,Common
1267,Loxley #1267,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1267.png,,portrait cat,masculine,young,pigtails,full beard,closed eyes,calm,cap,Rare
1268,Loxley #1268,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1268.png,,human hacker,masculine,elder,slicked-back hair,full beard,monocle,smirking,flower behind ear,Common
1269,Loxley #1269,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1269.png,,human ranger,androgynous,adult,curly hair,chin strap beard,glowing eyes,serious,cap,Common
1270,Loxley #1270,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1270.png,,human ranger,androgynous,elder,pigtails,eye scar,cyber visor,smirking,headphones,Common
1271,Loxley #1271,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1271.png,,human oracle,masculine,elder,spiky hair,face tattoo,sharp piercing eyes,surprised,scarf,Common
1272,Loxley #1272,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1272.png,,human ranger,feminine,adult,man-bun,cybernetic jaw,wide eyes,serious,nothing on head,Common
1273,Loxley #1273,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1273.png,,human ranger,feminine,adult,dreadlocks,cybernetic jaw,wide eyes,calm,cigarette,Common
1274,Loxley #1274,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1274.png,,human ranger,feminine,young,short hair,stubble,narrow eyes,smirking,glowing halo,Common
